index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
150,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,1,0,0,1,0,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym bez głębszej analizy stanów psychologicznych.,potwierdzenie społecznego statusu (zakup),ironia (komentarz),behawioralne manifestacje,ironia,potwierdzenie społecznego statusu,brak znaczącej zmiany,"Annotator przeszedł od opisu zakupu jako potwierdzenia statusu do ironicznego komentarza, ale nie wprowadził głębszej analizy psychologicznych reakcji.",0.0,Brak istotnego rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny. Zmiana z potwierdzenia statusu na ironię nie wskazuje na głębsze zrozumienie emocji czy procesów kognitywnych.,reaction
151,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,1,1,Brak zmiany w zrozumieniu emocjonalnym; reakcje pozostają na poziomie behawioralnym i zewnętrznym.,ironia,zgodność ze zdaniem podmiotu wpływu; komentarz pod postem,behawioralne manifestacje,zewnętrzne wyniki,ironia,brak znaczącej zmiany,"Annotator nie rozwinął głębszego zrozumienia psychologicznych reakcji, a zmiany w odpowiedzi są bardziej opisowe niż analityczne.",0.0,"Annotator nie wykazał postępu w analizie psychologicznych reakcji. Odpowiedzi pozostają na poziomie behawioralnym, co sugeruje brak głębszej refleksji nad wewnętrznymi stanami emocjonalnymi.",reaction
153,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,1,1,Brak zmiany w zrozumieniu emocjonalnym; obie odpowiedzi koncentrują się na zewnętrznych zachowaniach bez głębszej analizy stanów psychologicznych.,potwierdzenie zewnętrznej wartości marki,zgodność z opinią; zachowanie,zachowanie,zgodność z opinią,potwierdzenie zewnętrznej wartości marki,brak znaczącej zmiany,"Annotator nie wykazał znaczącego rozwoju w rozumieniu psychologicznych reakcji na wpływ społeczny. Odpowiedzi pozostają na poziomie behawioralnym, koncentrując się na zewnętrznych wynikach.",0.0,"Brak postępu w analizie reakcji psychologicznych. Odpowiedzi są nadal powierzchowne i koncentrują się na zewnętrznych zachowaniach, co sugeruje, że annotator nie rozwinął głębszego zrozumienia wewnętrznych stanów psychicznych związanych z wpływem społecznym.",reaction
152,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,1,0,1,0,2,0,1,"Annotator przeszedł od prostego stwierdzenia o wpływie do bardziej złożonej analizy, która uwzględnia możliwość manipulacji w marketingu, co wskazuje na rozwój w rozumieniu kontekstu społecznego.",zachowanie (uczucie lepszości); zewnętrzny wynik (marka),kognicja (analiza wpływu); kontekst marketingowy,zewnętrzny wynik,kognicja; kontekst marketingowy,emocje,zmiana perspektywy,"Annotator przeszedł od prostego opisu wpływu do bardziej krytycznej analizy, uwzględniając możliwość manipulacji w marketingu.",0.5,"Rozwój w analizie wpływu społecznego. Kluczowe zmiany: (1) Zmiana z opisu emocjonalnego na bardziej krytyczne myślenie o kontekście marketingowym; (2) Zwiększenie złożoności analizy poprzez uwzględnienie możliwości manipulacji; (3) Utrata bezpośrednich odniesień do emocji, co może wskazywać na bardziej analityczne podejście.",reaction
154,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,1,0,0,1,0,0,0,0,"Brak jakiejkolwiek analizy emocjonalnej w odpowiedzi po, co wskazuje na spłycenie rozumienia reakcji psychologicznych.",emocje pozytywne (lepsza); zewnętrzne wyniki (zakup),[],[],[],emocje pozytywne; zewnętrzne wyniki,spłycenie (fokus na zachowania),"Annotator nie dostarczył żadnej odpowiedzi w sekcji po, co sugeruje brak rozwoju w rozumieniu psychologicznych reakcji na wpływ społeczny.",-1.0,"Brak odpowiedzi w sekcji po wskazuje na spłycenie analizy reakcji psychologicznych. Annotator nie zidentyfikował żadnych wewnętrznych stanów emocjonalnych ani procesów kognitywnych, co może sugerować brak zaawansowania w umiejętności analizy reakcji na wpływ społeczny.",reaction
155,0.2,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,0,1,0,1,0,0,2,1,"Brak złożonych emocji w odpowiedzi po, co wskazuje na spłycenie analizy reakcji.",prośba o opinię (kognitywne),zainteresowanie innych (behawioralne manifestacje); preferencje (zewnętrzne wyniki),zewnętrzne wyniki,zainteresowanie innych; preferencje,prośba o opinię,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy prośby o opinię, co wskazywało na zrozumienie psychologicznych procesów, do opisu zachowań innych osób bez głębszej analizy ich stanów wewnętrznych.",-0.6,"Zmiana w analizie reakcji wskazuje na spłycenie zrozumienia psychologicznych aspektów wpływu społecznego. Zamiast zrozumienia wewnętrznych procesów, annotator skupił się na zewnętrznych zachowaniach, co ogranicza głębokość analizy.",reaction
157,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
156,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,1,0,0,0,0,"Brak jakiejkolwiek zmiany w zrozumieniu emocji, ponieważ odpowiedź po prostu nie zawiera żadnych reakcji.",akceptacja; powołanie się na autorytet,[],[],[],akceptacja; powołanie się na autorytet,spłycenie (fokus na zachowania),"Odpowiedź po nie zawiera żadnych reakcji, co wskazuje na spłycenie analizy. Wcześniejsze kategorie zostały całkowicie utracone.",-1.0,Brak odpowiedzi po wskazuje na znaczący regres w analizie reakcji na wpływ społeczny. Wcześniejsze zrozumienie akceptacji i powołania się na autorytet zostało całkowicie utracone.,reaction
158,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
159,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,2,0,0,0,"Annotator zidentyfikował dwa stany emocjonalne: zdezorientowanie i zamieszanie, co pokazuje pewien postęp w rozumieniu emocji, ale nadal brakuje głębszej analizy.",[],"emocje negatywne (zdezorientowanie, zamieszanie)",[],emocje negatywne,[],brak znaczącej zmiany,"Annotator zidentyfikował nowe emocje, ale nie poszerzył analizy o inne aspekty psychologiczne. Wciąż brakuje głębszego zrozumienia reakcji psychologicznych.",0.1,"Annotator wykazał pewien postęp w identyfikacji emocji, jednak nadal brakuje głębszej analizy i zrozumienia psychologicznych reakcji na wpływ społeczny.",reaction
160,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,1,0,0,1,"W odpowiedzi po czasie annotator dodał emocjonalny element zaskoczenia, ale nie rozwinął głębszej analizy psychologicznej reakcji.",zgoda jako zachowanie,emocje (zaskoczenie); zewnętrzne wyniki (brak rekomendacji),[],emocje (zaskoczenie); zewnętrzne wyniki (brak rekomendacji),zgoda jako zachowanie,brak znaczącej zmiany,"Annotator dodał emocjonalny element, ale nie pogłębił analizy psychologicznej. Zmiana w odpowiedzi nie wskazuje na rozwój w zrozumieniu reakcji na wpływ społeczny.",0.0,"Annotator dodał emocjonalny element zaskoczenia, ale nie rozwinął głębszej analizy psychologicznej. Odpowiedź pozostała na poziomie powierzchownym, koncentrując się na zewnętrznych wynikach i zachowaniach.",reaction
161,0.5,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,1,0,0,0,3,1,0,0,"Annotator rozszerzył swoje zrozumienie reakcji emocjonalnych, dodając różnorodne stany wewnętrzne, takie jak onieśmielenie i niepewność, co wskazuje na głębsze zrozumienie psychologicznych reakcji na wpływ społeczny.",emocje negatywne (zdezorientowanie); behawioralne manifestacje (zakłopotanie),"emocje negatywne (zdezorientowanie, onieśmielenie); procesy kognitywne (niepewność); brak jasnej deklaracji",emocje negatywne (zdezorientowanie),onieśmielenie; niepewność; brak jasnej deklaracji,behawioralne manifestacje (zakłopotanie),pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje zrozumienie psychologicznych reakcji, dodając nowe emocje i procesy kognitywne, co wskazuje na bardziej złożoną analizę sytuacji.",0.75,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Dodanie nowych emocji, takich jak onieśmielenie i niepewność, co pokazuje głębsze zrozumienie reakcji na wpływ społeczny; (2) Zmiana w analizie z behawioralnej na psychologiczną, co wskazuje na większą wrażliwość na wewnętrzne stany emocjonalne.",reaction
162,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,3,0,0,2,1,0,"Annotator przeszedł od opisu zachowań do bardziej złożonego opisu procesów myślowych, ale nadal brakuje głębszej analizy emocjonalnej.",zachowania uległe; zachowania nieśmiałe; potakiwanie,brak odczytania intencji; zaskoczenie; zdawkowe odpowiedzi,[],brak odczytania intencji; zaskoczenie; zdawkowe odpowiedzi,zachowania uległe; zachowania nieśmiałe; potakiwanie,brak znaczącej zmiany,"Annotator przeszedł do bardziej złożonego opisu sytuacji, ale nadal koncentruje się na zewnętrznych zachowaniach, nie identyfikując głębszych emocji.",0.0,"Brak znaczącego rozwoju w zrozumieniu psychologicznych reakcji. Annotator przeszedł do bardziej szczegółowego opisu sytuacji, ale nadal nie identyfikuje wewnętrznych stanów emocjonalnych, co ogranicza głębokość analizy.",reaction
163,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,1,0,0,1,0,0,0,"Annotator przeszedł od bardziej złożonego opisu reakcji (zaskoczenie, chęć zignorowania) do prostszej identyfikacji emocji (zdenerwowanie, niechęć), co wskazuje na spłycenie analizy emocjonalnej.",emocje (zaskoczenie); procesy kognitywne (chęć zignorowania),"emocje (zdenerwowanie, niechęć)",emocje,[],procesy kognitywne,spłycenie (fokus na zachowania),"Annotator zredukował złożoność analizy emocjonalnej, koncentrując się na prostszych emocjach, co prowadzi do utraty głębszego zrozumienia procesów psychologicznych.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast złożonego opisu emocji i myśli, annotator skupił się na prostszych emocjach, co może sugerować mniejsze zrozumienie psychologicznych mechanizmów reakcji.",reaction
164,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,1,1,2,0,"Annotator przeszedł od opisu jedynie zewnętrznego potwierdzenia do uwzględnienia emocjonalnych i kognitywnych aspektów reakcji, takich jak żartobliwość oraz argumentacja, co wskazuje na głębsze zrozumienie dynamiki społecznej.",behawioralne potwierdzenie,"emocje (żartobliwość); procesy kognitywne (argumentacja); behawioralne manifestacje (zgoda, warunki)",[],emocje; procesy kognitywne; behawioralne manifestacje,behawioralne potwierdzenie,pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji na wpływ społeczny, dodając emocjonalne i kognitywne aspekty, co pokazuje większą złożoność analizy.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany obejmują: (1) Wprowadzenie emocji do analizy, co wskazuje na większą wrażliwość na subtelności interakcji społecznych; (2) Uznanie roli argumentacji i warunków w procesie decyzyjnym, co pokazuje zrozumienie dynamiki grupowej; (3) Przejście od prostego opisu do bardziej złożonej analizy, co świadczy o rozwoju kompetencji analitycznych.",reaction
165,0.3,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,0,1,1,1,0,1,4,1,"Annotator przeszedł od bardziej złożonego opisu reakcji do skupienia się na konkretnych zachowaniach, co ogranicza zrozumienie wewnętrznych stanów emocjonalnych.",zgoda na prośbę; zabezpieczenie interesów (zaangażowanie),"behawioralne manifestacje (przewracanie oczami, niechęć); komunikacja kompetencji; stawianie warunków; domaganie się zaangażowania",[],behawioralne manifestacje; komunikacja kompetencji; stawianie warunków,zgoda na prośbę; zabezpieczenie interesów,spłycenie (fokus na zachowania),"Annotator skupił się na zewnętrznych zachowaniach i manifestacjach, tracąc złożoność wcześniejszego opisu, który uwzględniał wewnętrzne procesy psychologiczne.",-0.6,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy. Zamiast zrozumienia wewnętrznych procesów, annotator skupił się na zewnętrznych zachowaniach, co ogranicza głębię analizy psychologicznej. Warto zauważyć, że wcześniejsze odpowiedzi były bardziej złożone i uwzględniały aspekty kognitywne i emocjonalne, które zostały utracone w późniejszej analizie.",reaction
166,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,2,0,7,0,0,0,0,0,"Brak reakcji emocjonalnych w odpowiedzi po, co wskazuje na spadek zrozumienia wewnętrznych stanów psychologicznych.","behawioralne manifestacje (przewrócenie oczami, śmiech, niezadowolenie); emocje (zdziwienie, zadowolenie)",[],[],[],behawioralne manifestacje; emocje,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w zrozumieniu reakcji psychologicznych na wpływ społeczny.,-1.0,"Brak odpowiedzi w sekcji 'After' sugeruje, że annotator nie był w stanie zidentyfikować reakcji psychologicznych po okresie nauki, co może wskazywać na stagnację w rozwoju umiejętności analizy reakcji na wpływ społeczny.",reaction
167,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,1,1,Brak zmiany w zrozumieniu emocjonalnym; obie odpowiedzi koncentrują się na zewnętrznych zachowaniach bez głębszej analizy stanów psychologicznych.,zgoda jako zachowanie,zgoda jako zachowanie; konkretne działanie (zgoda Oli),zgoda jako zachowanie,konkretne działanie (zgoda Oli),[],brak znaczącej zmiany,"Annotator nie rozwinął zrozumienia psychologicznych reakcji, a odpowiedzi pozostały na poziomie behawioralnym.",0.0,"Brak postępu w analizie reakcji psychologicznych. Odpowiedzi koncentrują się na zewnętrznych zachowaniach, co wskazuje na potrzebę głębszej analizy wewnętrznych stanów emocjonalnych i kognitywnych.",reaction
168,0.3,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,2,0,0,2,0,0,"Annotator przeszedł od opisu zachowań do bardziej złożonego zrozumienia wewnętrznych procesów myślowych, takich jak sceptycyzm i oczekiwanie wsparcia.",opór (behawioralny); warunki (behawioralne),oczekiwania (kognitywne); sceptycyzm (kognitywne),[],oczekiwania; sceptycyzm,opór; warunki,pogłębienie psychologiczne,"Annotator przeszedł od opisu prostych zachowań do bardziej złożonego zrozumienia wewnętrznych procesów myślowych, co wskazuje na rozwój w analizie reakcji na wpływ społeczny.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu zachowań na analizę procesów myślowych, co pokazuje głębsze zrozumienie dynamiki grupowej; (2) Wprowadzenie pojęć takich jak sceptycyzm i oczekiwanie wsparcia, co wskazuje na bardziej złożoną interpretację reakcji na wpływ społeczny.",reaction
169,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,0,0,0,0,"Brak zmian w zrozumieniu emocjonalnym, ponieważ odpowiedź po czasie jest nieobecna.","behawioralne manifestacje (podanie warunków, zgoda)",[],[],[],behawioralne manifestacje,brak znaczącej zmiany,Brak odpowiedzi po czasie wskazuje na stagnację w rozumieniu reakcji na wpływ społeczny.,-1.0,"Brak rozwoju w zrozumieniu reakcji na wpływ społeczny, co może sugerować potrzebę dalszego szkolenia lub refleksji nad tym tematem.",reaction
170,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,1,0,"Brak zmiany w zrozumieniu emocjonalnym, ponieważ odpowiedź po prostu opisuje zachowanie bez odniesienia do wewnętrznych stanów psychologicznych.",[],behawioralne manifestacje (kręcenie loka),[],behawioralne manifestacje,[],brak znaczącej zmiany,Odpowiedź po nie wykazuje głębszego zrozumienia psychologicznych reakcji na wpływ społeczny. Zmiana z 'nan' na 'kręcenie loka' nie wnosi nic do analizy psychologicznej.,-1.0,"Brak rozwoju w zrozumieniu reakcji psychologicznych. Odpowiedź po nie dostarcza jedynie opisu zachowania, co wskazuje na potrzebę dalszego rozwoju w zakresie analizy reakcji na wpływ społeczny.",reaction
